country,year,type,consumption
Australia,1961,beer,6.36
Australia,1961,wine,0.88
Australia,1961,spirits,1.19
Australia,1962,beer,6.44
Australia,1962,wine,0.91
Australia,1962,spirits,1.16
Australia,1963,beer,7.52
Australia,1963,wine,0.96
Australia,1963,spirits,1.26
Australia,1964,beer,7.72
Australia,1964,wine,0.97
Australia,1964,spirits,1.36
Australia,1965,beer,7.69
Australia,1965,wine,1.05
Australia,1965,spirits,1.19
Australia,1966,beer,7.84
Australia,1966,wine,1.17
Australia,1966,spirits,1.19
Australia,1967,beer,8.1
Australia,1967,wine,1.3
Australia,1967,spirits,1.32
Australia,1968,beer,8.33
Australia,1968,wine,1.4
Australia,1968,spirits,1.3
Australia,1969,beer,8.51
Australia,1969,wine,1.52
Australia,1969,spirits,1.45
Australia,1970,beer,8.64
Australia,1970,wine,1.49
Australia,1970,spirits,1.49
Australia,1971,beer,8.64
Australia,1971,wine,1.51
Australia,1971,spirits,1.54
Australia,1972,beer,8.81
Australia,1972,wine,1.66
Australia,1972,spirits,1.74
Australia,1973,beer,9.57
Australia,1973,wine,1.87
Australia,1973,spirits,1.76
Australia,1974,beer,9.7
Australia,1974,wine,2.08
Australia,1974,spirits,1.68
Australia,1975,beer,9.42
Australia,1975,wine,2.18
Australia,1975,spirits,1.61
Australia,1976,beer,9.38
Australia,1976,wine,2.27
Australia,1976,spirits,1.76
Australia,1977,beer,9.35
Australia,1977,wine,2.36
Australia,1977,spirits,1.83
Australia,1978,beer,8.99
Australia,1978,wine,2.7
Australia,1978,spirits,1.47
Australia,1979,beer,9.02
Australia,1979,wine,2.83
Australia,1979,spirits,1.38
Australia,1980,beer,8.82
Australia,1980,wine,2.98
Australia,1980,spirits,1.5
Australia,1981,beer,8.76
Australia,1981,wine,3.12
Australia,1981,spirits,1.58
Australia,1982,beer,8.26
Australia,1982,wine,3.21
Australia,1982,spirits,1.59
Australia,1983,beer,7.95
Australia,1983,wine,3.3
Australia,1983,spirits,1.51
Australia,1984,beer,7.69
Australia,1984,wine,3.43
Australia,1984,spirits,1.61
Australia,1985,beer,7.73
Australia,1985,wine,3.47
Australia,1985,spirits,1.7
Australia,1986,beer,7.39
Australia,1986,wine,3.34
Australia,1986,spirits,1.57
Australia,1987,beer,7.5
Australia,1987,wine,3.31
Australia,1987,spirits,1.65
Australia,1988,beer,7.62
Australia,1988,wine,3.06
Australia,1988,spirits,1.7
Australia,1989,beer,7.49
Australia,1989,wine,2.92
Australia,1989,spirits,1.68
Australia,1990,beer,7.08
Australia,1990,wine,2.75
Australia,1990,spirits,1.18
Australia,1991,beer,6.65
Australia,1991,wine,2.87
Australia,1991,spirits,1.12
Australia,1992,beer,6.35
Australia,1992,wine,2.8
Australia,1992,spirits,1.17
Australia,1993,beer,5.48
Australia,1993,wine,2.67
Australia,1993,spirits,1.48
Australia,1994,beer,5.46
Australia,1994,wine,2.7
Australia,1994,spirits,1.73
Australia,1995,beer,5.39
Australia,1995,wine,2.66
Australia,1995,spirits,1.63
Australia,1996,beer,5.32
Australia,1996,wine,2.74
Australia,1996,spirits,1.7
Australia,1997,beer,5.24
Australia,1997,wine,2.86
Australia,1997,spirits,1.81
Australia,1998,beer,5.15
Australia,1998,wine,2.87
Australia,1998,spirits,1.77
Australia,1999,beer,5.06
Australia,1999,wine,2.94
Australia,1999,spirits,1.88
Australia,2000,beer,5.07
Australia,2000,wine,2.95
Australia,2000,spirits,2.07
Australia,2001,beer,4.08
Australia,2001,wine,2.91
Australia,2001,spirits,1.81
Australia,2002,beer,4.97
Australia,2002,wine,3.01
Australia,2002,spirits,1.86
Australia,2003,beer,4.96
Australia,2003,wine,3
Australia,2003,spirits,2.01
Australia,2004,beer,4.57
Australia,2004,wine,3.13
Australia,2004,spirits,1.2
Australia,2005,beer,4.62
Australia,2005,wine,3.53
Australia,2005,spirits,1.21
Australia,2006,beer,4.63
Australia,2006,wine,3.53
Australia,2006,spirits,1.16
Australia,2007,beer,4.63
Australia,2007,wine,3.7
Australia,2007,spirits,1.15
Australia,2008,beer,4.69
Australia,2008,wine,3.71
Australia,2008,spirits,1.19
Australia,2009,beer,4.68
Australia,2009,wine,3.78
Australia,2009,spirits,1.32
Australia,2010,beer,4.51
Australia,2010,wine,3.87
Australia,2010,spirits,1.3
Australia,2011,beer,4.31
Australia,2011,wine,3.79
Australia,2011,spirits,1.34
Australia,2012,beer,4.14
Australia,2012,wine,3.78
Australia,2012,spirits,1.26
Australia,2013,beer,4.04
Australia,2013,wine,3.7
Australia,2013,spirits,1.29
Australia,2014,beer,4.01
Australia,2014,wine,3.64
Australia,2014,spirits,1.23