Country,Beer,Wine,Spirits
Albania,31.8,19.8,48.4
Algeria,62.6,35.5,0
Andorra,34.6,45.3,20.1
Angola,64.3,13.7,17.4
Antigua and Barbuda,36.4,16.4,47
Argentina,40.7,48,5.5
Armenia,9.7,5.3,84.9
Australia,44,36.7,12.5
Austria,50.4,35.5,14
Azerbaijan,28.7,7.6,63.3
Bahamas,34,14.6,50.4
Bahrain,36.6,6.3,57
Barbados,39.7,10.2,49.3
Belarus,17.3,5.2,46.6
Belgium,49.2,36.3,14.4
Belize,67.6,2,30.3
Benin,54.6,21.7,7.2
Bhutan,100,0,0
Bolivia,76.8,3.8,19.3
Bosnia and Herzegovina,29.1,3.2,67.7
Botswana,56,11.8,11.5
Brazil,59.6,4,36.3
Brunei,89.8,2.3,7.2
Bulgaria,39.3,16.5,44.1
Burkina Faso,10,3,3.1
Burundi,24.5,0,0.1
Cambodia,45.7,0.8,53.5
Cameroon,44.4,1.2,0.2
Canada,51.2,22,26.8
Cape Verde,63,7.3,25.4
Central African Republic,16.2,0.6,2.1
Chad,66.3,3.4,3.8
Chile,29.9,40.7,29.4
China,27.8,3,69.2
Colombia,66.1,1.1,32.5
Comoros,23.3,22.2,54.6
Congo,78.4,9.8,10.9
Cook Islands,0,22.6,77.4
Costa Rica,59.3,4.7,35.5
Cote d'Ivoire,16.1,3,0.4
Croatia,39.5,44.8,15.4
Cuba,38.8,2.2,58.9
Cyprus,40.9,24.7,33.7
Czechia,53.5,20.5,26
Democratic Republic of Congo,24,0.7,2
Denmark,37.7,48.2,14.1
Djibouti,23.2,5.3,71.5
Dominica,13.7,7.1,77.9
Dominican Republic,54.5,2.7,42.7
Ecuador,67.3,1.2,31.5
Egypt,53.8,5.4,40.3
El Salvador,41.7,1.7,56.6
Equatorial Guinea,27.8,72.2,0
Eritrea,63.6,0,0.1
Estonia,41.2,11.1,36.8
Eswatini,33.6,0.8,0.7
Ethiopia,49.7,0.6,8.2
Fiji,67.7,0.9,31.1
Finland,46,17.5,24
France,18.8,56.4,23.1
Gabon,68.3,11.9,19.8
Gambia,5.6,0.7,0.3
Georgia,17,49.8,33.2
Germany,53.6,27.8,18.6
Ghana,30,9.7,2.9
Greece,28.1,47.3,24.2
Grenada,29.3,4.3,66.2
Guatemala,41.9,1.6,56.3
Guinea,78.9,16.3,3.7
Guinea-Bissau,19.6,14.9,22.4
Guyana,23,0.3,76.6
Haiti,0.2,0.2,99.6
Honduras,40.1,1.1,58.7
Hungary,36.3,29.4,34.3
Iceland,61.8,21.2,16.5
India,6.8,0.1,93.1
Indonesia,84.5,0.1,15.3
Iraq,76.1,1,22.9
Ireland,48.1,26.1,18.7
Israel,44,6.2,49.5
Italy,23,65.6,11.5
Jamaica,42,4.9,51.4
Japan,19.2,4.1,52
Jordan,22.4,2.1,75.4
Kazakhstan,31.8,3.1,65.1
Kenya,56.1,1.8,21.6
Kiribati,36.9,2.2,60.9
Kuwait,58.1,10.8,30.7
Kyrgyzstan,22.6,4.2,72.9
Laos,35.6,0,64.4
Latvia,46.9,10.7,37
Lebanon,18.2,29.1,52.4
Lesotho,51.3,0.2,18.9
Liberia,10.8,1,88.1
Lithuania,46.5,7.8,34.1
Luxembourg,36.2,42.8,21
Madagascar,56,9.5,34.5
Malawi,9.1,1.2,13.4
Malaysia,76.2,2,21.8
Mali,13.3,1.5,2.1
Malta,39.4,32.7,27.2
Mauritius,66.2,12.3,21.3
Mexico,75.7,1.5,22.2
Micronesia (country),47,14.1,38.9
Moldova,30.4,5.1,64.5
Mongolia,27.6,2.8,69.6
Montenegro,10.9,47,41.7
Morocco,43.5,36.5,19.9
Mozambique,63,7.3,25.4
Myanmar,82.6,5.7,11.8
Namibia,96.7,0.3,0.9
Nauru,85.4,14.6,0
Nepal,47.7,0.9,51.4
Netherlands,46.8,36.4,16.9
New Zealand,38.2,33.9,15.2
Nicaragua,38.8,0.5,60.6
Niger,46,13.2,40.7
Nigeria,8,0.4,0.9
Niue,47,1.7,51.3
North Macedonia,47.4,39.9,12.6
Norway,44.2,34.7,19
Oman,54.6,3.3,42.2
Palau,77.7,5.9,16.4
Panama,69.2,4.6,26
Papua New Guinea,51.3,0.9,47.7
Paraguay,51.1,18.2,28.8
Peru,46.8,6.1,47.1
Philippines,26.9,0.3,72.7
Poland,55.1,9.3,35.5
Portugal,30.8,55.5,10.9
Qatar,1.2,13.9,84.6
Romania,50,28.9,21.1
Russia,37.6,11.4,51
Rwanda,11.1,0,0.4
Saint Kitts and Nevis,44,7.4,48
Saint Lucia,29.7,12.6,56.1
Saint Vincent and the Grenadines,33.4,3,63.1
Samoa,70.9,16.6,12.5
Sao Tome and Principe,23.5,60.2,16.3
Saudi Arabia,0,1.9,97.9
Senegal,55.1,41.3,3.6
Serbia,51.5,23.9,24.6
Seychelles,67,22.2,10.8
Sierra Leone,6.4,0.5,0.7
Singapore,70.1,13.5,14.7
Slovakia,30.1,18.3,46.2
Slovenia,44.5,46.9,8.6
Solomon Islands,81.1,2.1,16.7
South Africa,48.1,17.8,16.7
South Korea,25,1.6,3
Spain,49.7,20.1,28.2
Sri Lanka,13,0.1,85.2
Sudan,8,0,13.5
Suriname,40,2.3,57.2
Sweden,37,46.6,15.1
Switzerland,31.8,49.4,17.6
Syria,8.5,27.9,63.5
Tajikistan,10.2,1.1,88.7
Tanzania,11,0.2,1.8
Thailand,27,0.4,72.6
Timor,9.3,75.9,14.8
Togo,48.9,26.9,2.4
Tonga,57.9,7.6,34.3
Trinidad and Tobago,54,2,43.8
Tunisia,68.6,27.7,3.7
Turkey,63.6,8.6,27.9
Turkmenistan,15.4,26.1,58.4
Tuvalu,10,15.5,74.5
Uganda,9.4,0.1,1.9
Ukraine,40.5,9,48
United Arab Emirates,10.3,2.9,86.7
United Kingdom,36.9,33.8,21.8
United States,50,17.3,32.7
Uruguay,30.6,59.9,9.5
Uzbekistan,18.3,6.3,75.4
Vanuatu,40.5,22.8,36.7
Venezuela,75.6,0.8,23.4
Vietnam,97.3,0.6,2.1
Yemen,100,0,0
Zambia,22.7,2.9,13.6
Zimbabwe,23.7,1.7,6.8